"Index Name","Date","Open","High","Low","Close"
"NIFTY AUTO","10 Jul 2024","25904.45","25906.1","25094.1","25302.80"
"NIFTY AUTO","09 Jul 2024","25389.7","25845.75","25338.35","25823.55"
"NIFTY AUTO","08 Jul 2024","25480.55","25581.95","25230.8","25260.50"
"NIFTY AUTO","05 Jul 2024","25377.75","25428.75","25226.45","25398.30"
"NIFTY AUTO","04 Jul 2024","25270.75","25415.25","25242.55","25366.45"
"NIFTY AUTO","03 Jul 2024","25252","25273.3","25123.2","25182.80"
"NIFTY AUTO","02 Jul 2024","25397.3","25397.3","25039.15","25130.85"
"NIFTY AUTO","01 Jul 2024","25173.65","25417.9","25172.4","25323.85"
"NIFTY AUTO","28 Jun 2024","25160.55","25339.15","25119.65","25200.60"
"NIFTY AUTO","27 Jun 2024","25025.65","25249.55","24841.85","25191.40"
"NIFTY AUTO","26 Jun 2024","25260.5","25293.8","24999.6","25018.90"
"NIFTY AUTO","25 Jun 2024","25363.65","25505.75","25205.5","25250.25"
"NIFTY AUTO","24 Jun 2024","25033.95","25350.85","24861.3","25309.80"
"NIFTY AUTO","21 Jun 2024","25344.8","25437.35","25016.9","25092.30"
"NIFTY AUTO","20 Jun 2024","25432.1","25498.4","25201.25","25267.85"
"NIFTY AUTO","19 Jun 2024","25809.85","25824.35","25344.4","25381.70"
"NIFTY AUTO","18 Jun 2024","25844.7","25991.45","25690.35","25715.30"
"NIFTY AUTO","14 Jun 2024","25437.8","25774.7","25347.35","25722.10"
"NIFTY AUTO","13 Jun 2024","25482.3","25482.3","25162.5","25393.20"
"NIFTY AUTO","12 Jun 2024","25296.65","25407.15","25198.05","25217.60"
"NIFTY AUTO","11 Jun 2024","25075.25","25342.2","25008.2","25230.80"
"NIFTY AUTO","10 Jun 2024","25100.5","25260.05","24912.6","25022.65"
"NIFTY AUTO","07 Jun 2024","24317.75","25043.35","24282.4","25020.20"
"NIFTY AUTO","06 Jun 2024","24367.8","24463.3","24200.95","24396.70"
"NIFTY AUTO","05 Jun 2024","23374.15","24347.9","23120.65","24283.75"
"NIFTY AUTO","04 Jun 2024","24000.95","24001.1","22026.3","23193.30"
"NIFTY AUTO","03 Jun 2024","24159.7","24159.7","23874.9","23992.70"
"NIFTY AUTO","31 May 2024","23613.4","23733.65","23314.05","23419.60"
"NIFTY AUTO","30 May 2024","23690.5","23767.25","23392.15","23471.00"
"NIFTY AUTO","29 May 2024","23670.55","23805.45","23566.05","23757.95"
"NIFTY AUTO","28 May 2024","23894.65","23978.45","23763.4","23814.25"
"NIFTY AUTO","27 May 2024","23972.4","23996.7","23696.35","23877.15"
"NIFTY AUTO","24 May 2024","23774.15","24038.6","23692.15","23891.45"
"NIFTY AUTO","23 May 2024","23368.55","23874.75","23252.2","23849.25"
"NIFTY AUTO","22 May 2024","23380.9","23400.25","23201.95","23324.10"
"NIFTY AUTO","21 May 2024","23322.95","23422.05","23215.45","23353.75"
"NIFTY AUTO","18 May 2024","23389.65","23400.05","23305.35","23339.30"
"NIFTY AUTO","17 May 2024","23045.65","23386.95","23039.4","23285.65"
"NIFTY AUTO","16 May 2024","22892.1","22943.8","22448.55","22886.85"
"NIFTY AUTO","15 May 2024","22930.6","22946.05","22681","22759.85"
"NIFTY AUTO","14 May 2024","22476.8","22894.7","22435.7","22874.80"
"NIFTY AUTO","13 May 2024","22725","22731","22127.9","22462.65"
"NIFTY AUTO","10 May 2024","22725.35","22898.3","22672.3","22846.90"
"NIFTY AUTO","09 May 2024","22501.9","22994.55","22492.6","22633.30"
"NIFTY AUTO","08 May 2024","22102.95","22512.55","21959.3","22458.65"
"NIFTY AUTO","07 May 2024","22582.35","22595.9","21996.65","22114.00"
"NIFTY AUTO","06 May 2024","22622.6","22654.9","22394.35","22526.60"
"NIFTY AUTO","03 May 2024","22870.55","22870.55","22342.6","22541.35"
"NIFTY AUTO","02 May 2024","22613.95","22776.9","22478.15","22733.50"
"NIFTY AUTO","30 Apr 2024","22184.8","22634.05","22181.1","22479.90"
"NIFTY AUTO","29 Apr 2024","22192.4","22259.65","21990.9","22078.75"
"NIFTY AUTO","26 Apr 2024","22219.3","22286.55","22081.1","22111.55"
"NIFTY AUTO","25 Apr 2024","21938.4","22221.6","21852.95","22174.05"
"NIFTY AUTO","24 Apr 2024","21963.8","22023.4","21869.25","21896.90"
"NIFTY AUTO","23 Apr 2024","21897.95","22006.25","21806.15","21914.30"
"NIFTY AUTO","22 Apr 2024","21846.05","21854.2","21653.75","21812.70"
"NIFTY AUTO","19 Apr 2024","21483.3","21637.1","21144.75","21609.70"
"NIFTY AUTO","18 Apr 2024","21790.75","21948.5","21459.05","21520.75"
"NIFTY AUTO","16 Apr 2024","21536.9","21845.1","21480.75","21703.05"
"NIFTY AUTO","15 Apr 2024","21623.6","21818.85","21445","21680.30"
