"Index Name","Date","Open","High","Low","Close"
"NIFTY HEALTHCARE","10 Jul 2024","13117.55","13139","12901.1","13128.10"
"NIFTY HEALTHCARE","09 Jul 2024","12978.8","13093.6","12915.15","13077.80"
"NIFTY HEALTHCARE","08 Jul 2024","13015","13056.25","12899.2","12930.50"
"NIFTY HEALTHCARE","05 Jul 2024","12827.65","13003.25","12827.65","12975.30"
"NIFTY HEALTHCARE","04 Jul 2024","12670.7","12844.2","12608.9","12812.85"
"NIFTY HEALTHCARE","03 Jul 2024","12584.8","12670.2","12514.6","12650.80"
"NIFTY HEALTHCARE","02 Jul 2024","12597.75","12615.1","12501.05","12555.30"
"NIFTY HEALTHCARE","01 Jul 2024","12609.7","12625.75","12526.85","12595.45"
"NIFTY HEALTHCARE","28 Jun 2024","12427.6","12614.35","12426.5","12576.25"
"NIFTY HEALTHCARE","27 Jun 2024","12388.4","12491.9","12379.9","12439.20"
"NIFTY HEALTHCARE","26 Jun 2024","12383.2","12421.15","12309.9","12389.25"
"NIFTY HEALTHCARE","25 Jun 2024","12426.05","12469.2","12357.35","12411.65"
"NIFTY HEALTHCARE","24 Jun 2024","12403.9","12462.7","12358.1","12398.60"
"NIFTY HEALTHCARE","21 Jun 2024","12475","12582.55","12401.1","12424.50"
"NIFTY HEALTHCARE","20 Jun 2024","12410.1","12462.05","12332.15","12435.75"
"NIFTY HEALTHCARE","19 Jun 2024","12582","12587.8","12418.4","12441.80"
"NIFTY HEALTHCARE","18 Jun 2024","12610.5","12623.1","12474.65","12550.30"
"NIFTY HEALTHCARE","14 Jun 2024","12551.15","12625.65","12527.65","12613.00"
"NIFTY HEALTHCARE","13 Jun 2024","12561","12564.15","12458.6","12540.75"
"NIFTY HEALTHCARE","12 Jun 2024","12400.55","12486.65","12351.05","12455.25"
"NIFTY HEALTHCARE","11 Jun 2024","12454.15","12469.35","12336.5","12350.90"
"NIFTY HEALTHCARE","10 Jun 2024","12396.95","12451.55","12356.05","12413.25"
"NIFTY HEALTHCARE","07 Jun 2024","12173.4","12350.55","12162.6","12337.80"
"NIFTY HEALTHCARE","06 Jun 2024","12211.1","12211.15","12036.8","12152.80"
"NIFTY HEALTHCARE","05 Jun 2024","11851.2","12212.05","11739.6","12162.90"
"NIFTY HEALTHCARE","04 Jun 2024","11874.95","11941.2","11325","11737.85"
"NIFTY HEALTHCARE","03 Jun 2024","12047.75","12058.25","11827.85","11847.90"
"NIFTY HEALTHCARE","31 May 2024","11961.05","11988.2","11750.85","11795.10"
"NIFTY HEALTHCARE","30 May 2024","12112.5","12124.3","11885.45","11921.50"
"NIFTY HEALTHCARE","29 May 2024","12091.5","12195.45","12045.5","12146.75"
