"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","10 Jul 2024","-","-","-","31410.71"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","09 Jul 2024","-","-","-","32831.36"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","08 Jul 2024","-","-","-","32290.96"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","05 Jul 2024","-","-","-","32465.10"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","04 Jul 2024","-","-","-","32549.06"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","03 Jul 2024","-","-","-","32509.69"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","02 Jul 2024","-","-","-","32390.64"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","01 Jul 2024","-","-","-","32472.12"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","28 Jun 2024","-","-","-","32097.23"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","27 Jun 2024","-","-","-","32275.52"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","26 Jun 2024","-","-","-","31980.25"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","25 Jun 2024","-","-","-","32454.83"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","24 Jun 2024","-","-","-","32353.51"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","21 Jun 2024","-","-","-","31807.13"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","20 Jun 2024","-","-","-","31992.33"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","19 Jun 2024","-","-","-","32312.38"
"NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP","18 Jun 2024","-","-","-","32484.95"
