"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 50","10 Jul 2024","16078.85","16079.35","15624.4","15947.75"
"NIFTY MIDCAP 50","09 Jul 2024","16039.4","16080.3","15948.65","16027.45"
"NIFTY MIDCAP 50","08 Jul 2024","16145.9","16146.5","15924.35","15988.95"
"NIFTY MIDCAP 50","05 Jul 2024","15987.85","16118.65","15959.7","16097.35"
"NIFTY MIDCAP 50","04 Jul 2024","15921.4","16001.05","15881","15976.05"
"NIFTY MIDCAP 50","03 Jul 2024","15795.5","15879.65","15749.4","15862.30"
"NIFTY MIDCAP 50","02 Jul 2024","15874.2","15886.8","15621.4","15711.45"
"NIFTY MIDCAP 50","01 Jul 2024","15745.4","15849.65","15689.7","15840.40"
"NIFTY MIDCAP 50","28 Jun 2024","15683.1","15763.4","15651.85","15711.15"
"NIFTY MIDCAP 50","27 Jun 2024","15623.5","15724.8","15493.45","15641.80"
"NIFTY MIDCAP 50","26 Jun 2024","15656.45","15691.65","15580.15","15595.45"
"NIFTY MIDCAP 50","25 Jun 2024","15757.5","15816.45","15629.95","15659.85"
"NIFTY MIDCAP 50","24 Jun 2024","15590.15","15734.2","15458.45","15707.65"
"NIFTY MIDCAP 50","21 Jun 2024","15704.65","15748.65","15597.65","15623.80"
"NIFTY MIDCAP 50","20 Jun 2024","15500.25","15633.95","15417.3","15616.60"
"NIFTY MIDCAP 50","19 Jun 2024","15629.7","15629.9","15352.05","15442.95"
"NIFTY MIDCAP 50","18 Jun 2024","15566.1","15599.7","15475.4","15591.55"
"NIFTY MIDCAP 50","14 Jun 2024","15429.1","15539.05","15383.45","15523.60"
"NIFTY MIDCAP 50","13 Jun 2024","15372.3","15387.15","15283.35","15378.35"
"NIFTY MIDCAP 50","12 Jun 2024","15103.05","15273.6","15089.25","15243.40"
"NIFTY MIDCAP 50","11 Jun 2024","14955.5","15093.45","14906.65","15031.90"
"NIFTY MIDCAP 50","10 Jun 2024","14992.4","15045.2","14817.7","14908.00"
"NIFTY MIDCAP 50","07 Jun 2024","14753.75","14963.3","14716.95","14952.40"
"NIFTY MIDCAP 50","06 Jun 2024","14607.95","14824.65","14563.7","14724.25"
"NIFTY MIDCAP 50","05 Jun 2024","13908.9","14514.95","13580.2","14456.35"
"NIFTY MIDCAP 50","04 Jun 2024","14937.75","14937.75","13284.2","13762.25"
"NIFTY MIDCAP 50","03 Jun 2024","14951.85","14958","14747.75","14919.50"
"NIFTY MIDCAP 50","31 May 2024","14437.9","14492.3","14325.65","14443.45"
"NIFTY MIDCAP 50","30 May 2024","14624.35","14634.25","14358.6","14390.85"
"NIFTY MIDCAP 50","29 May 2024","14616.25","14700.9","14556.3","14637.80"
"NIFTY MIDCAP 50","28 May 2024","14819.95","14856.95","14595.1","14664.70"
"NIFTY MIDCAP 50","27 May 2024","14717.55","14883.85","14669.7","14783.75"
"NIFTY MIDCAP 50","24 May 2024","14687.85","14762.3","14623.8","14662.65"
"NIFTY MIDCAP 50","23 May 2024","14675.95","14686.4","14533.25","14677.45"
"NIFTY MIDCAP 50","22 May 2024","14654.15","14658.55","14474.05","14618.60"
"NIFTY MIDCAP 50","21 May 2024","14577.7","14627.65","14518.35","14614.50"
"NIFTY MIDCAP 50","18 May 2024","14581.65","14600.7","14551.15","14588.35"
"NIFTY MIDCAP 50","17 May 2024","14440.3","14525.15","14404.25","14515.20"
"NIFTY MIDCAP 50","16 May 2024","14314.55","14411.5","14263.25","14396.90"
"NIFTY MIDCAP 50","15 May 2024","14213.1","14281.25","14156","14262.55"
"NIFTY MIDCAP 50","14 May 2024","14091.1","14189.1","14004","14163.15"
"NIFTY MIDCAP 50","13 May 2024","13933.1","14086","13683.35","14064.80"
"NIFTY MIDCAP 50","10 May 2024","13794.15","13927.7","13654.05","13909.90"
"NIFTY MIDCAP 50","09 May 2024","14034.75","14039.7","13730.9","13755.65"
"NIFTY MIDCAP 50","08 May 2024","13876.95","14059","13796.4","14010.40"
"NIFTY MIDCAP 50","07 May 2024","14186.95","14190.2","13775.1","13874.70"
"NIFTY MIDCAP 50","06 May 2024","14292.3","14294.55","14083.05","14157.95"
"NIFTY MIDCAP 50","03 May 2024","14268.95","14298.75","14113.9","14189.30"
"NIFTY MIDCAP 50","02 May 2024","14217.75","14260.45","14164.55","14243.60"
"NIFTY MIDCAP 50","30 Apr 2024","14209.9","14277.55","14144.05","14161.90"
"NIFTY MIDCAP 50","29 Apr 2024","14152.6","14164.45","14077.65","14153.05"
"NIFTY MIDCAP 50","26 Apr 2024","14003","14107.75","13985.65","14083.25"
"NIFTY MIDCAP 50","25 Apr 2024","13886.85","13974.35","13838.55","13964.35"
"NIFTY MIDCAP 50","24 Apr 2024","13843.8","13915.6","13825.85","13901.80"
"NIFTY MIDCAP 50","23 Apr 2024","13756.55","13817.2","13727","13780.65"
"NIFTY MIDCAP 50","22 Apr 2024","13686","13703.75","13612.3","13681.25"
"NIFTY MIDCAP 50","19 Apr 2024","13578.45","13668.2","13385.05","13595.45"
"NIFTY MIDCAP 50","18 Apr 2024","13847.3","13921.2","13648.6","13687.05"
"NIFTY MIDCAP 50","16 Apr 2024","13758.55","13889.2","13707.35","13765.50"
"NIFTY MIDCAP 50","15 Apr 2024","13854.9","13935.45","13752.65","13841.30"
"NIFTY MIDCAP 50","12 Apr 2024","14095.7","14171.7","14037.65","14049.10"
"NIFTY MIDCAP 50","10 Apr 2024","13984.75","14112.85","13969.00","14097.95"
"NIFTY MIDCAP 50","09 Apr 2024","14026.45","14054.65","13900.50","13941.60"
"NIFTY MIDCAP 50","08 Apr 2024","14056.50","14058.70","13822.30","13957.10"
"NIFTY MIDCAP 50","05 Apr 2024","13948.55","13988.30","13891.00","13978.35"
"NIFTY MIDCAP 50","04 Apr 2024","14061.15","14079.00","13925.10","13941.15"
"NIFTY MIDCAP 50","03 Apr 2024","13889.50","13988.25","13839.70","13955.85"
"NIFTY MIDCAP 50","02 Apr 2024","13824.15","13934.60","13744.70","13922.60"
"NIFTY MIDCAP 50","01 Apr 2024","13640.45","13786.65","13602.30","13772.60"
"NIFTY MIDCAP 50","28 Mar 2024","13541.50","13579.25","13450.05","13526.50"
"NIFTY MIDCAP 50","27 Mar 2024","13516.40","13553.50","13440.65","13460.05"
"NIFTY MIDCAP 50","26 Mar 2024","13296.55","13504.30","13293.90","13474.10"
"NIFTY MIDCAP 50","22 Mar 2024","13262.80","13357.75","13210.90","13329.95"
"NIFTY MIDCAP 50","21 Mar 2024","13099.35","13319.80","13097.95","13305.40"
"NIFTY MIDCAP 50","20 Mar 2024","13029.25","13086.00","12837.00","12975.15"
