"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","10 Jul 2024","13893.2","13893.6","13650.9","13816.35"
"NIFTY 200","09 Jul 2024","13832.55","13869.05","13807","13863.20"
"NIFTY 200","08 Jul 2024","13825.85","13832.95","13755.55","13800.40"
"NIFTY 200","05 Jul 2024","13737.45","13823.7","13714.4","13807.25"
"NIFTY 200","04 Jul 2024","13785.95","13804.55","13744.95","13766.60"
"NIFTY 200","03 Jul 2024","13722.95","13749.95","13684.75","13737.60"
"NIFTY 200","02 Jul 2024","13714.55","13717.1","13586.25","13635.30"
"NIFTY 200","01 Jul 2024","13584.25","13676.05","13576.7","13668.70"
"NIFTY 200","28 Jun 2024","13604.2","13653.55","13565.8","13579.25"
"NIFTY 200","27 Jun 2024","13506.6","13599.45","13480.4","13575.80"
"NIFTY 200","26 Jun 2024","13451.9","13509.85","13412.4","13496.15"
"NIFTY 200","25 Jun 2024","13428.3","13465.2","13389.4","13451.05"
"NIFTY 200","24 Jun 2024","13305.5","13404.8","13264.15","13397.05"
"NIFTY 200","21 Jun 2024","13459.35","13459.85","13326.7","13361.10"
"NIFTY 200","20 Jun 2024","13400.75","13423","13333.65","13405.90"
"NIFTY 200","19 Jun 2024","13465.3","13465.3","13306.1","13362.80"
"NIFTY 200","18 Jun 2024","13422.05","13428.8","13380.3","13421.90"
"NIFTY 200","14 Jun 2024","13325.85","13370.25","13263.8","13360.60"
"NIFTY 200","13 Jun 2024","13317.65","13317.7","13237.85","13282.50"
"NIFTY 200","12 Jun 2024","13212.25","13263.9","13190.5","13219.95"
"NIFTY 200","11 Jun 2024","13170.4","13230.9","13126.2","13162.70"
"NIFTY 200","10 Jun 2024","13181.2","13230.9","13117.3","13145.95"
"NIFTY 200","07 Jun 2024","12909.75","13153.55","12876.75","13142.00"
"NIFTY 200","06 Jun 2024","12857.55","12962.9","12805.85","12902.20"
"NIFTY 200","05 Jun 2024","12442.15","12764.2","12177.95","12740.60"
"NIFTY 200","04 Jun 2024","13151.35","13151.35","11878.65","12288.15"
"NIFTY 200","03 Jun 2024","13243.4","13243.4","13071.9","13183.85"
"NIFTY 200","31 May 2024","12763.2","12791.6","12687.9","12742.80"
"NIFTY 200","30 May 2024","12800.3","12839.3","12671.4","12708.30"
"NIFTY 200","29 May 2024","12862.75","12902.4","12827.75","12836.45"
"NIFTY 200","28 May 2024","13013.2","13022.95","12905.75","12928.10"
"NIFTY 200","27 May 2024","13034.1","13062.75","12957.4","12985.40"
"NIFTY 200","24 May 2024","12975","13028.75","12953.85","12981.65"
"NIFTY 200","23 May 2024","12835.55","12993.2","12820.6","12982.40"
"NIFTY 200","22 May 2024","12818.3","12828.95","12733.1","12813.50"
"NIFTY 200","21 May 2024","12719.75","12804.75","12710.75","12780.45"
"NIFTY 200","18 May 2024","12741.75","12751.4","12724.95","12744.75"
"NIFTY 200","17 May 2024","12658.95","12714.7","12631.7","12705.15"
"NIFTY 200","16 May 2024","12594.7","12655.95","12467.1","12641.70"
"NIFTY 200","15 May 2024","12536.95","12570.65","12493","12528.65"
"NIFTY 200","14 May 2024","12425.3","12522.55","12401.35","12502.85"
"NIFTY 200","13 May 2024","12378.9","12427.5","12216.4","12410.00"
"NIFTY 200","10 May 2024","12340.1","12395.3","12295.9","12380.55"
"NIFTY 200","09 May 2024","12496.75","12531.8","12294.75","12309.90"
"NIFTY 200","08 May 2024","12442.9","12554.55","12404.35","12517.40"
"NIFTY 200","07 May 2024","12630.3","12632.3","12425.1","12475.00"
"NIFTY 200","06 May 2024","12698.3","12701.7","12571.2","12601.75"
"NIFTY 200","03 May 2024","12795.2","12807.75","12573.1","12651.15"
"NIFTY 200","02 May 2024","12675.1","12756.5","12674.7","12730.55"
"NIFTY 200","30 Apr 2024","12708.2","12769.6","12656.25","12673.15"
"NIFTY 200","29 Apr 2024","12608.35","12681.45","12575.4","12675.20"
"NIFTY 200","26 Apr 2024","12632.15","12638.75","12553.75","12570.30"
"NIFTY 200","25 Apr 2024","12486","12618.1","12482.75","12599.70"
"NIFTY 200","24 Apr 2024","12515.45","12543.95","12504.6","12516.55"
"NIFTY 200","23 Apr 2024","12508.55","12508.65","12464","12478.35"
"NIFTY 200","22 Apr 2024","12436.95","12460.1","12369.7","12441.40"
"NIFTY 200","19 Apr 2024","12197.3","12350.75","12119","12325.85"
"NIFTY 200","18 Apr 2024","12405.7","12464.25","12261.85","12282.70"
"NIFTY 200","16 Apr 2024","12325.5","12393.5","12304.35","12351.45"
"NIFTY 200","15 Apr 2024","12417.85","12489.9","12352.1","12397.40"
"NIFTY 200","12 Apr 2024","12641.95","12672.65","12554.1","12559.30"
"NIFTY 200","10 Apr 2024","12640.50","12682.55","12619.85","12671.80"
"NIFTY 200","09 Apr 2024","12670.35","12670.35","12569.50","12595.60"
"NIFTY 200","08 Apr 2024","12602.40","12642.50","12578.70","12615.60"
"NIFTY 200","05 Apr 2024","12516.80","12562.15","12486.85","12551.00"
"NIFTY 200","04 Apr 2024","12583.10","12594.95","12443.35","12524.45"
"NIFTY 200","03 Apr 2024","12452.50","12528.15","12432.00","12492.45"
"NIFTY 200","02 Apr 2024","12462.95","12489.75","12432.05","12483.40"
"NIFTY 200","01 Apr 2024","12410.65","12465.20","12407.20","12447.20"
"NIFTY 200","28 Mar 2024","12252.75","12413.15","12252.55","12329.75"
"NIFTY 200","27 Mar 2024","12207.30","12272.85","12205.55","12219.00"
"NIFTY 200","26 Mar 2024","12100.80","12195.50","12100.50","12173.65"
"NIFTY 200","22 Mar 2024","12084.35","12204.85","12050.50","12168.75"
"NIFTY 200","21 Mar 2024","12060.45","12126.75","12054.10","12114.50"
"NIFTY 200","20 Mar 2024","11973.40","12003.15","11868.35","11965.25"
"NIFTY 200","19 Mar 2024","12053.15","12062.75","11939.60","11950.45"
"NIFTY 200","18 Mar 2024","12065.25","12126.65","12013.55","12094.45"
"NIFTY 200","15 Mar 2024","12113.80","12152.75","11998.85","12080.65"
"NIFTY 200","14 Mar 2024","11983.75","12163.45","11937.40","12147.85"
"NIFTY 200","13 Mar 2024","12337.40","12344.45","11949.05","12008.80"
"NIFTY 200","12 Mar 2024","12351.05","12380.85","12269.80","12293.65"
"NIFTY 200","11 Mar 2024","12440.35","12443.50","12330.85","12345.70"
"NIFTY 200","07 Mar 2024","12410.60","12441.30","12386.75","12417.25"
"NIFTY 200","06 Mar 2024","12355.45","12402.85","12241.20","12391.25"
"NIFTY 200","05 Mar 2024","12380.40","12393.05","12324.40","12361.55"
"NIFTY 200","04 Mar 2024","12389.30","12406.65","12353.15","12386.95"
"NIFTY 200","02 Mar 2024","12372.10","12385.75","12357.30","12369.95"
"NIFTY 200","01 Mar 2024","12206.00","12337.85","12205.35","12331.15"
"NIFTY 200","29 Feb 2024","12112.70","12203.10","12054.75","12160.45"
"NIFTY 200","28 Feb 2024","12293.20","12301.70","12099.10","12119.45"
"NIFTY 200","27 Feb 2024","12245.70","12297.90","12239.80","12277.55"
"NIFTY 200","26 Feb 2024","12277.90","12301.40","12222.45","12255.15"
"NIFTY 200","23 Feb 2024","12324.85","12327.65","12275.85","12292.45"
"NIFTY 200","22 Feb 2024","12208.80","12298.55","12104.80","12282.40"
"NIFTY 200","21 Feb 2024","12301.95","12307.75","12149.95","12181.80"
"NIFTY 200","20 Feb 2024","12236.20","12278.75","12205.80","12269.10"
"NIFTY 200","19 Feb 2024","12242.95","12278.75","12198.60","12240.95"
"NIFTY 200","16 Feb 2024","12184.85","12212.85","12157.15","12198.65"
"NIFTY 200","15 Feb 2024","12114.90","12145.00","12069.75","12124.80"
"NIFTY 200","14 Feb 2024","11887.00","12076.65","11862.75","12063.45"
"NIFTY 200","13 Feb 2024","11939.20","11992.20","11836.40","11983.85"
"NIFTY 200","12 Feb 2024","12077.30","12088.15","11890.15","11914.10"
"NIFTY 200","09 Feb 2024","12064.45","12085.30","11930.15","12055.65"
"NIFTY 200","08 Feb 2024","12185.80","12187.30","12026.35","12052.65"
"NIFTY 200","07 Feb 2024","12156.20","12162.45","12065.45","12126.80"
"NIFTY 200","06 Feb 2024","12013.65","12090.45","11953.65","12082.95"
"NIFTY 200","05 Feb 2024","12063.50","12091.65","11949.35","11975.65"
"NIFTY 200","02 Feb 2024","12000.60","12140.20","11995.45","12017.20"
"NIFTY 200","01 Feb 2024","11992.75","12003.15","11901.20","11937.65"
"NIFTY 200","31 Jan 2024","11822.45","11961.50","11802.50","11953.80"
"NIFTY 200","30 Jan 2024","11957.35","11974.00","11819.60","11829.60"
"NIFTY 200","29 Jan 2024","11771.50","11937.75","11767.65","11925.90"
"NIFTY 200","25 Jan 2024","11783.10","11783.65","11660.20","11724.75"
"NIFTY 200","24 Jan 2024","11614.45","11782.20","11555.45","11769.40"
"NIFTY 200","23 Jan 2024","11943.10","11950.45","11599.40","11626.80"
"NIFTY 200","20 Jan 2024","11916.75","11927.05","11842.80","11855.95"
"NIFTY 200","19 Jan 2024","11835.05","11871.80","11817.10","11862.30"
"NIFTY 200","18 Jan 2024","11732.45","11782.65","11599.90","11749.35"
"NIFTY 200","17 Jan 2024","11844.30","11937.70","11790.75","11801.35"
"NIFTY 200","16 Jan 2024","12056.60","12074.80","11971.10","12019.45"
"NIFTY 200","15 Jan 2024","12042.05","12062.45","11979.60","12055.40"
"NIFTY 200","12 Jan 2024","11920.70","11978.55","11885.75","11960.85"
"NIFTY 200","11 Jan 2024","11863.20","11885.05","11824.60","11855.20"
"NIFTY 200","10 Jan 2024","11782.25","11829.90","11717.10","11820.45"
"NIFTY 200","09 Jan 2024","11838.90","11870.70","11768.80","11782.90"
"NIFTY 200","08 Jan 2024","11897.20","11900.75","11748.80","11759.70"
"NIFTY 200","05 Jan 2024","11884.30","11904.10","11817.35","11872.30"
"NIFTY 200","04 Jan 2024","11796.80","11863.65","11782.50","11850.60"
"NIFTY 200","03 Jan 2024","11791.55","11796.95","11734.25","11745.50"
"NIFTY 200","02 Jan 2024","11831.40","11833.45","11699.05","11782.60"
"NIFTY 200","01 Jan 2024","11809.45","11865.05","11787.80","11817.50"
"NIFTY 200","29 Dec 2023","11781.80","11811.50","11749.85","11798.70"
"NIFTY 200","28 Dec 2023","11762.70","11799.95","11736.55","11790.05"
"NIFTY 200","27 Dec 2023","11669.50","11737.00","11659.85","11727.00"
"NIFTY 200","26 Dec 2023","11590.10","11647.10","11569.00","11629.85"
"NIFTY 200","22 Dec 2023","11545.25","11590.55","11498.45","11569.10"
"NIFTY 200","21 Dec 2023","11340.75","11523.65","11306.10","11507.65"
"NIFTY 200","20 Dec 2023","11695.20","11719.90","11384.50","11417.20"
"NIFTY 200","19 Dec 2023","11660.35","11664.15","11570.55","11637.45"
"NIFTY 200","18 Dec 2023","11626.70","11657.00","11582.20","11627.00"
"NIFTY 200","15 Dec 2023","11579.15","11641.50","11544.50","11627.80"
"NIFTY 200","14 Dec 2023","11471.55","11535.10","11461.45","11520.35"
"NIFTY 200","13 Dec 2023","11361.50","11388.70","11282.60","11376.70"
