"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","10 Jul 2024","13022.25","13022.9","12767.85","12936.40"
"NIFTY TOTAL MARKET","09 Jul 2024","12973.4","12998.6","12936.7","12989.40"
"NIFTY TOTAL MARKET","08 Jul 2024","12971.3","12976.95","12894.2","12936.00"
"NIFTY TOTAL MARKET","05 Jul 2024","12884.4","12959.6","12861.3","12946.65"
"NIFTY TOTAL MARKET","04 Jul 2024","12916.25","12930.05","12875.95","12902.75"
"NIFTY TOTAL MARKET","03 Jul 2024","12850.15","12878.45","12819.1","12867.35"
"NIFTY TOTAL MARKET","02 Jul 2024","12841.55","12843.95","12720","12769.65"
"NIFTY TOTAL MARKET","01 Jul 2024","12708.1","12802.8","12703.35","12795.85"
"NIFTY TOTAL MARKET","28 Jun 2024","12711.85","12757.15","12681.8","12694.10"
"NIFTY TOTAL MARKET","27 Jun 2024","12643.6","12697.85","12600.45","12679.35"
"NIFTY TOTAL MARKET","26 Jun 2024","12597.95","12645.8","12559.45","12629.60"
"NIFTY TOTAL MARKET","25 Jun 2024","12582.35","12606.2","12547.25","12591.25"
"NIFTY TOTAL MARKET","24 Jun 2024","12470.15","12558.95","12425.95","12546.95"
"NIFTY TOTAL MARKET","21 Jun 2024","12604.55","12606","12488.95","12517.00"
"NIFTY TOTAL MARKET","20 Jun 2024","12543.9","12570.65","12481.9","12554.55"
"NIFTY TOTAL MARKET","19 Jun 2024","12607.6","12607.6","12448.6","12504.75"
"NIFTY TOTAL MARKET","18 Jun 2024","12558.9","12568.1","12520.3","12563.25"
"NIFTY TOTAL MARKET","14 Jun 2024","12459.05","12505.05","12405.65","12496.60"
"NIFTY TOTAL MARKET","13 Jun 2024","12442.3","12442.35","12369.25","12417.00"
"NIFTY TOTAL MARKET","12 Jun 2024","12335.4","12387.3","12319.7","12352.60"
"NIFTY TOTAL MARKET","11 Jun 2024","12286.05","12347.55","12244.7","12287.90"
"NIFTY TOTAL MARKET","10 Jun 2024","12274.8","12324.55","12228.8","12257.35"
"NIFTY TOTAL MARKET","07 Jun 2024","12017.45","12236.9","11984.9","12227.65"
"NIFTY TOTAL MARKET","06 Jun 2024","11933.45","12056.1","11902","12001.50"
"NIFTY TOTAL MARKET","05 Jun 2024","11547.45","11841.6","11291.35","11820.55"
"NIFTY TOTAL MARKET","04 Jun 2024","12217.1","12217.1","11017.7","11411.95"
"NIFTY TOTAL MARKET","03 Jun 2024","12320.3","12320.3","12150.5","12241.55"
"NIFTY TOTAL MARKET","31 May 2024","11869.3","11896.15","11796.95","11857.15"
