"Index Name","Date","Open","High","Low","Close"
"NIFTY PRIVATE BANK","10 Jul 2024","26215.5","26223.1","25997.35","26086.60"
"NIFTY PRIVATE BANK","09 Jul 2024","26177.75","26285.15","26129.6","26232.50"
"NIFTY PRIVATE BANK","08 Jul 2024","26215.3","26309.1","26103.65","26200.25"
"NIFTY PRIVATE BANK","05 Jul 2024","26235.8","26367.65","26105.45","26266.20"
"NIFTY PRIVATE BANK","04 Jul 2024","26653.55","26653.55","26360.85","26524.20"
"NIFTY PRIVATE BANK","03 Jul 2024","26312.85","26566.4","26131.9","26504.65"
"NIFTY PRIVATE BANK","02 Jul 2024","26318.05","26333.2","25888.7","25979.05"
"NIFTY PRIVATE BANK","01 Jul 2024","26094.85","26251.15","25992.05","26210.00"
"NIFTY PRIVATE BANK","28 Jun 2024","26415.25","26441","26031.7","26075.50"
"NIFTY PRIVATE BANK","27 Jun 2024","26440.3","26542.5","26264.05","26401.85"
"NIFTY PRIVATE BANK","26 Jun 2024","26260.25","26428.65","26120.4","26368.85"
"NIFTY PRIVATE BANK","25 Jun 2024","25794.4","26297.15","25784.85","26218.40"
"NIFTY PRIVATE BANK","24 Jun 2024","25615.45","25821.5","25535.6","25781.05"
"NIFTY PRIVATE BANK","21 Jun 2024","25936.5","25942.7","25595.95","25811.35"
"NIFTY PRIVATE BANK","20 Jun 2024","25742.6","25870.45","25548.45","25849.85"
"NIFTY PRIVATE BANK","19 Jun 2024","25147.3","25846.15","25071.55","25553.90"
"NIFTY PRIVATE BANK","18 Jun 2024","24890","25111.35","24714","25049.65"
"NIFTY PRIVATE BANK","14 Jun 2024","24771.55","24831.7","24623.45","24777.05"
"NIFTY PRIVATE BANK","13 Jun 2024","24883.15","24893.75","24675.4","24692.70"
"NIFTY PRIVATE BANK","12 Jun 2024","24715.35","24891","24631.8","24740.35"
"NIFTY PRIVATE BANK","11 Jun 2024","24662.95","24780.75","24548.4","24644.20"
"NIFTY PRIVATE BANK","10 Jun 2024","24699.4","24902","24598.25","24684.90"
"NIFTY PRIVATE BANK","07 Jun 2024","24457.3","24806.6","24357.45","24706.90"
"NIFTY PRIVATE BANK","06 Jun 2024","24630.6","24632.5","24276.85","24456.25"
"NIFTY PRIVATE BANK","05 Jun 2024","23511.75","24619.3","23095.5","24462.70"
"NIFTY PRIVATE BANK","04 Jun 2024","24914.75","24914.75","22919.35","23269.30"
"NIFTY PRIVATE BANK","03 Jun 2024","25150.35","25187.95","24710.6","25032.45"
"NIFTY PRIVATE BANK","31 May 2024","24211.55","24310.1","24069.5","24224.10"
"NIFTY PRIVATE BANK","30 May 2024","23943.35","24262.8","23943.35","24102.80"
"NIFTY PRIVATE BANK","29 May 2024","24181.75","24308.6","23984.7","24026.70"
"NIFTY PRIVATE BANK","28 May 2024","24490.15","24541.8","24305.3","24359.15"
"NIFTY PRIVATE BANK","27 May 2024","24367","24638.85","24330.9","24435.10"
"NIFTY PRIVATE BANK","24 May 2024","24166.8","24347.25","24126.75","24303.50"
"NIFTY PRIVATE BANK","23 May 2024","23769.65","24229.7","23757.95","24203.95"
"NIFTY PRIVATE BANK","22 May 2024","23875.8","23879.35","23551.85","23730.15"
"NIFTY PRIVATE BANK","21 May 2024","23839.2","23944.3","23782.9","23828.90"
